State,Policy,Status
HI ,Primary Election Postponement,-
HI ,Emergency Declaration,Yes
ID,Status of Reopening,Paused
ID,Stay at Home Order,Lifted
ID,Mandatory Quarantine for Travelers,Lifted
ID,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
ID,Large Gatherings Ban,Lifted
ID,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
ID,Bar Closures,Reopened
ID,Face Covering Requirement,-
ID,Primary Election Postponement,-
ID,Emergency Declaration,Yes
IL,Status of Reopening,Proceeding with Reopening
IL,Stay at Home Order,Lifted
IL,Mandatory Quarantine for Travelers,-
IL,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
IL,Large Gatherings Ban,Expanded to New Limit Above 25
IL,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
IL,Bar Closures,Reopened
IL,Face Covering Requirement,Required for General Public
IL,Primary Election Postponement,-
IL,Emergency Declaration,Yes
IN,Status of Reopening,Paused
IN,Stay at Home Order,Lifted
IN,Mandatory Quarantine for Travelers,-
IN,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
IN,Large Gatherings Ban,Expanded to New Limit Above 25
IN,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
IN,Bar Closures,Reopened
IN,Face Covering Requirement,Required for General Public
IN,Primary Election Postponement,Postponed
IN,Emergency Declaration,Yes
IA,Status of Reopening,Reopened
IA,Stay at Home Order,-
IA,Mandatory Quarantine for Travelers,-
IA,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen
IA,Large Gatherings Ban,Expanded to New Limit Above 25
IA,Restaurant Limits,Reopened to Dine-in Service
IA,Bar Closures,Reopened
IA,Face Covering Requirement,Allows Local Officals to Require for General Public
IA,Primary Election Postponement,-
IA,Emergency Declaration,Yes
KS,Status of Reopening,Reopened
KS,Stay at Home Order,Lifted
KS,Mandatory Quarantine for Travelers,From Certain States
KS,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen
KS,Large Gatherings Ban,Lifted
KS,Restaurant Limits,Reopened to Dine-in Service
KS,Bar Closures,Reopened
KS,Face Covering Requirement,Required for General Public
KS,Primary Election Postponement,-
KS,Emergency Declaration,Yes
KY,Status of Reopening,New Restrictions Imposed
KY,Stay at Home Order,Lifted
KY,Mandatory Quarantine for Travelers,Lifted
KY,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen
KY,Large Gatherings Ban,New Limit on Large Gatherings in Place
KY,Restaurant Limits,New Service Limits
KY,Bar Closures,Newly Closed
KY,Face Covering Requirement,Required for General Public
KY,Primary Election Postponement,Postponed
KY,Emergency Declaration,Yes
LA,Status of Reopening,New Restrictions Imposed
LA,Stay at Home Order,Lifted
LA,Mandatory Quarantine for Travelers,-
LA,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
LA,Large Gatherings Ban,New Limit on Large Gatherings in Place
LA,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
LA,Bar Closures,Newly Closed
LA,Face Covering Requirement,Required for General Public
LA,Primary Election Postponement,Postponed
LA,Emergency Declaration,Yes
ME,Status of Reopening,Proceeding with Reopening
ME,Stay at Home Order,Lifted
ME,Mandatory Quarantine for Travelers,All Travelers
ME,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen
ME,Large Gatherings Ban,Expanded to New Limit Above 25
ME,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
ME,Bar Closures,Closed
ME,Face Covering Requirement,Required for General Public
ME,Primary Election Postponement,Postponed
ME,Emergency Declaration,Yes
MD,Status of Reopening,Paused
MD,Stay at Home Order,Lifted
MD,Mandatory Quarantine for Travelers,All Travelers
MD,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
MD,Large Gatherings Ban,Lifted
MD,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
MD,Bar Closures,Reopened
MD,Face Covering Requirement,Required for General Public
MD,Primary Election Postponement,Postponed
MD,Emergency Declaration,Yes
MA,Status of Reopening,Proceeding with Reopening
MA,Stay at Home Order,Rolled Back to High Risk Groups
MA,Mandatory Quarantine for Travelers,All Travelers
MA,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen
MA,Large Gatherings Ban,Expanded to New Limit of 25
MA,Restaurant Limits,Reopened to Dine-in Service
MA,Bar Closures,Closed
MA,Face Covering Requirement,Required for General Public
MA,Primary Election Postponement,-
MA,Emergency Declaration,Yes
MI,Status of Reopening,New Restrictions Imposed
MI,Stay at Home Order,Lifted
MI,Mandatory Quarantine for Travelers,-
MI,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen
MI,Large Gatherings Ban,New Limit on Large Gatherings in Place
