coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"153.0284,-27.4699",Sun Jul 26 06:30:07 +0000 2020,,,https://www.instagram.com/p/CDGGSxigAqQXbJdxVUNkllSZr2k9hgd2CHwR_Y0/?igshid=juio8zr116mu,1,1287273980374786048,,,,en,"Brisbane, Queensland",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Another CoVid Project complete.  It will last another 25 years or so. @ Brisbane, Queensland, Australia https://t.co/GvCLH3stT4",https://twitter.com/AlanMcLoughlin3/status/1287273980374786048,Sun Oct 07 01:09:57 +0000 2012,AlanMcLoughlin3,false,,1648,48,190,0,,Alan McLoughlin,AlanMcLoughlin3,265,,,false
"-80.13906306,26.15861201",Sun Jul 26 05:17:59 +0000 2020,Florida Lockdown WindowWatch SelfieSunday FindMax Lost Budgerigar Bird WiltonManors FortLauderdale FL USA LostBird,,https://shar.es/1TMKyc https://www.instagram.com/p/CC2KpMolNOu/?igshid=6699vnt1e5mo,0,1287255826642722817,,,,en,"Fort Lauderdale, FL",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","If you're in #Florida on #Lockdown, please help with #WindowWatch this #SelfieSunday!

#FindMax #Lost Parakeet #Budgerigar #Bird
https://t.co/NlcrLrkp13
#WiltonManors, #FortLauderdale, #FL #USA
.
.
.
#LostBird… https://t.co/6uHqvLRoFo",https://twitter.com/petsarefound/status/1287255826642722817,Tue Jun 30 11:50:59 +0000 2009,petsarefound,false,We help MISSING PETS get FOUND. Pets on our website are shared to Twtr Instagram Pinterest Tumblr Flickr & Fbk https://t.co/Tlabwcs7IM,22217,9493,5418,485,Facebook.com/WherePetsAreFound,Where Pets Are Found,petsarefound,160641,,http://www.WherePetsAreFound.com,false
"-122.47846,37.8183",Sun Jul 26 06:56:59 +0000 2020,art photooftheday photography goldengatebridge artistic demviews views bayarea bridge bridges instagram pandemic2020 wearamask covid19,,https://www.instagram.com/p/CDGJXiTHQ3g/?igshid=1ep2dcwvfho3d,1,1287280738325483520,,,,en,"California, USA",false,2,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",So artsy... Basically a professional photographer 💁🏻‍♀️ #art #photooftheday #photography #goldengatebridge #artistic #demviews #views #bayarea #bridge #bridges #instagram #pandemic2020 #wearamask #covid19… https://t.co/MiEEgHvZLY,https://twitter.com/AmyKous/status/1287280738325483520,Wed Aug 11 23:15:26 +0000 2010,AmyKous,false,,1212,117,440,2,"Redwood City, CA",Amy K,AmyKous,3644,,,false
"151.70629978,-32.88920957",Sun Jul 26 05:00:30 +0000 2020,teamforum forumfit forumfamily forumfriends,,http://www.theforum.org.au/COVID-safe https://www.instagram.com/p/CDF8CRFAB7X/?igshid=ksbl48zsajen,0,1287251426444541953,,,,en,"Newcastle, New South Wales",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","See you tomorrow fam! 🤗
New week, new goals. Good people, good times. 💪
https://t.co/eT6VxPU597
#teamforum #forumfit #forumfamily #forumfriends @ The Forum, Newcastle University Sport https://t.co/iQGoy2hc8o",https://twitter.com/theforumnusport/status/1287251426444541953,Fri Jul 01 11:37:08 +0000 2011,theforumnusport,false,The Forum is a leader in providing quality health and fitness services to the Newcastle community. Reach us at: 02 4921 7001,370,1165,145,25,"Newcastle, NSW",The Forum,theforumnusport,4598,,http://www.theforum.org.au,false
"157.25,-8.31667",Sun Jul 26 06:14:20 +0000 2020,socialdistancing,,https://www.instagram.com/p/CDGEe2uBfjJ/?igshid=17rhjaic486b1,1,1287270004484907008,,,,en,Solomon Islands,false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Solomon Is. Still here! Were would you rather be right now? Perfect place for #socialdistancing We are waiting for you on the other side.... Remember you can still do your SSI Ecology programs with us online. In the… https://t.co/StkWy8stWE,https://twitter.com/DiveMunda/status/1287270004484907008,Mon Mar 21 11:44:14 +0000 2016,DiveMunda,false,Dive Munda is a multi award winning SSI Instructor Training Centre in the Western province of Solomon Islands committed to sustainable dive eco-tourism.,4535,200,376,1,Solomon Islands,Dive Munda,DiveMunda,700,,http://www.divemunda.com,false
"-97.73549055,30.26585335",Sun Jul 26 05:38:02 +0000 2020,atx austin all512,,http://subscribe.all512.com http://dlvr.it/RcNCfS,0,1287260871337500672,,,,en,"Austin, TX",false,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","https://t.co/q1bIRBjDj8 As Hurricane Hanna closed in on the Texas coast, Gov. Greg Abbott called for residents not to forget the already existing threat of COVID-19. https://t.co/sozMYhqlPY #atx #austin #all512",https://twitter.com/all512tv/status/1287260871337500672,Fri Jan 27 22:52:58 +0000 2017,all512tv,false,"Providing the ATX with the best local podcast & press coverage for local artist, brands, and events! Live From The ATX stayed tuned for releases.",615,493,27,1,"Austin, TX",Austin Live & Local,all512tv,5234,,http://www.all512.com,false
"-110.884,32.294",Sun Jul 26 04:38:41 +0000 2020,procreate baby mama daddyslittlegirl infant happy cute coronatime covid,,https://www.instagram.com/p/CDF5iiSh7-S/?igshid=c84j7kpf8cb5,0,1287245936411004928,,,,en,"Catalina Foothills, AZ",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Can we just appropriate this brand new mama 
Thank you Liana and bitadamad  for letting us illustrate you❤️ hope you like it 

#procreate #baby #mama #daddyslittlegirl #infant #happy #cute #coronatime #covid… https://t.co/cKcpF7XkW7",https://twitter.com/nilooship/status/1287245936411004928,Mon Feb 16 01:19:35 +0000 2009,nilooship,false,,47,48,170,1,,niloufar,nilooship,312,,,false
"-96.7108474,33.0255836",Sun Jul 26 05:07:54 +0000 2020,,,https://iwaspoisoned.com/incident/an-employee-at-dallas-vintage-shop-in-plano-tested-positive-for-covid-19-364866#emailscroll,0,1287253287700398080,,,,en,"Plano, TX",false,0,,,"<a href=""https://iwaspoisoned.com"" rel=""nofollow"">IWPTweets</a>","Coronavirus - Covid-19 - Plano, Texas -  Coworkers are not being tested or self isolating

 Employee tested positive for Covid. F... Food Poisoning https://t.co/EiWkhFeUmJ",https://twitter.com/iwaspoisoned_/status/1287253287700398080,Fri Oct 20 02:12:41 +0000 2017,iwaspoisoned_,false,Got food poisoning? Report it now at https://t.co/uqaqt4dYM1 . The #1 consumer led food poisoning reporting platform in the world.,1,228,2,2,,Iwaspoisoned.com,iwaspoisoned_,46734,,https://iwaspoisoned.com,false
"-0.13608912,51.50413561",Sun Jul 26 05:38:32 +0000 2020,,,http://dlvr.it/RcNCjM,0,1287260997049188364,,,,en,"London, England",false,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Somerset Lush branch says 'please don't enter' with symptoms of COVID-19 and racism: Mr McKay said other Lush branches in the UK have come up with similar ideas to promote tolerance and inclusivity, rather than hate. ... reads: ""Please don't enter with… https://t.co/fyfmV0EqwD",https://twitter.com/Pairsonnalites/status/1287260997049188364,Thu Apr 29 13:56:48 +0000 2010,Pairsonnalites,false,Americas — United Kingdom  | Keeping up-to-date on global exclusion — Stigmabase is an internet non-profit Initiative,0,4213,3910,271,Americas | United Kingdom,Stigmabase | ORG,Pairsonnalites,1648488,,https://edu.stigmabase.org/,false
"21.008333,52.232222",Sun Jul 26 05:18:05 +0000 2020,Israeli,,https://www.rt.com/news/495874-israel-protest-netanyahu-coronavirus/,0,1287255851577769990,,,,en,"Warsaw, Poland",false,0,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot 3 for iΟS</a>",Thousands protest outside #Israeli PM Netanyahus official residence... https://t.co/7pntP3dVH7,https://twitter.com/pidybi/status/1287255851577769990,Sat Mar 30 17:25:49 +0000 2013,pidybi,false,🙉🙈🙊,60,510,423,273,"Warszawa, Polska",𝔓𝔦𝔬𝔱𝔯 𝔇𝔶𝔟𝔦𝔢𝔠,pidybi,567983,,https://revolut.com/referral/piotr9jr,false
"-112.186,33.5386",Sun Jul 26 05:32:41 +0000 2020,PreCOVID PreCOVID19 COVID SocialDistancing,,https://www.instagram.com/p/CDF_uHonITE/?igshid=13vxclz67jxwc,0,1287259526018641921,,,,en,"Arizona, USA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Quarantine Day 129...
Still doing totally fine as an introvert. 🤷🏻‍♀️
.
.
What about you, how are you doing?
Follow @JewLeeAhhEff 
.
.
Photo by lydiaspencephotography
#PreCOVID #PreCOVID19 #COVID #SocialDistancing… https://t.co/n0nhOht8r2",https://twitter.com/JewLeeAhhEff/status/1287259526018641921,Wed Jul 24 21:50:01 +0000 2019,JewLeeAhhEff,false,Model Wanna Be.💄Dog Mama of 5.🐶 IG: @JewLeeAhhCee📸 Gem.♊ @Dance_Man💍,312,17,84,0,"Arizona, USA",Julia,JewLeeAhhEff,226,,http://www.instagram.com/JewLeeAhhCee,false
"-117.297,33.122",Sun Jul 26 06:18:33 +0000 2020,repost,,https://www.instagram.com/p/CDGE99IhUQ0/?igshid=grpghazxsdr2,7,1287271066281353217,,,,en,"Carlsbad, CA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Rest easy, Brother. Thank you for your selfless actions during these unprecedented times. Being a first responder during an international pandemic is surreal. 

#repost @LAFDtalk
・・・
COVID-19 Claims Life of LAFD… https://t.co/Tq9zDg1VPv",https://twitter.com/CBDfirefighters/status/1287271066281353217,Mon Mar 06 20:58:22 +0000 2017,CBDfirefighters,false,Proud to serve the citizens of Carlsbad,18023,717,1136,15,"Carlsbad, CA",Carlsbadfirefighters,CBDfirefighters,3950,,http://www.carlsbadfirefighters.net,false
