coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"75.8988,22.7614",Wed Jul 08 05:40:07 +0000 2020,MarutiSuzuki CelerioX ExcitementComesEasy MarutiSuzukiArena GearUpForTomorrow MarutiSuzuki StaySafe SocialDistancing,,https://www.instagram.com/p/CCXph2cFsF7/?igshid=183quqaouqhr3,0,1280738413382164480,,,,en,"Indore, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#MarutiSuzuki #CelerioX with excitingly bold looks. Feel the rush of excitement with every drive.
#ExcitementComesEasy
#MarutiSuzukiArena
#GearUpForTomorrow.
 #MarutiSuzuki #StaySafe #SocialDistancing… https://t.co/ev1lEnwsXY",https://twitter.com/PatelMotorArena/status/1280738413382164480,Thu Aug 23 12:33:28 +0000 2018,PatelMotorArena,false,"MP's No.1 most trusted car dealer for Maruti Suzuki. Visit us for the best customer support and car buying experience in Dhar, Indore, Jhabua, Ratlam, Mandsaur",1,11,23,0,"Indore, India",Patel Motors,PatelMotorArena,368,,https://www.arenaofvijaynagar.com/,false
"144.9661,-37.8156",Wed Jul 08 05:26:57 +0000 2020,lockdown,,https://www.instagram.com/p/CCXowaIHj_S/?igshid=zj5bxybqfs8d,0,1280735101991731200,,,,en,"Melbourne, Victoria",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Ready for other 6 weeks #lockdown? @ Melbourne, Victoria, Australia https://t.co/3FQeli0jLj",https://twitter.com/psypontoglio/status/1280735101991731200,Thu Nov 13 12:13:16 +0000 2014,psypontoglio,false,,64,39,213,1,Italy,sara pontoglio,psypontoglio,29,,https://www.facebook.com/spontoglio,false
"77.05416667,28.6",Wed Jul 08 06:12:47 +0000 2020,testimony,,https://www.instagram.com/p/CCXuAIjlnV-/?igshid=1i1nsf71skzyr,0,1280746635555938304,,,,en,"New Delhi, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",I am so touched with the #testimony of Mr Vijay Shah  for his journey from COVID 19 positive to negative and his confidence in Homoeopathy System of Medicine... Happy to share his and his family joy and comfort of… https://t.co/52IInNHs9t,https://twitter.com/drmayurjain/status/1280746635555938304,Tue Mar 16 16:23:48 +0000 2010,drmayurjain,false,"Studying #Dreams, #Holistic #Healer, #Homeopathy, #Wellness #Coach, Researching #Cure for #Asthma & COPD, #HealthIT #StratUp Inquisitive #Explorer. @asthma99",383,3017,3482,58,"New Delhi, India",Dr. Mayur Jain MD,drmayurjain,2423,,http://www.asthma99.com,false
"-118.268892,34.094365",Wed Jul 08 05:57:50 +0000 2020,,,https://www.instagram.com/p/CCXsSbmDAW_/?igshid=153f86hm23uqz,0,1280742874171179008,,,,en,"Los Angeles, CA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","2020 Coronavirus House Arrest Day 114 - Another scorcher in SoCal... and still fireworks going off at night! With the bar officially open until we are free to fully roam uninhibited, tonight's elixir (compliments of… https://t.co/sbDtmncUaS",https://twitter.com/FrugalFilipino/status/1280742874171179008,Thu Mar 19 18:38:26 +0000 2009,FrugalFilipino,false,"Drink, Eat, Travel...Enjoy. Be inspired... An exploration of life through cuisine, oddities, and places far and near. Follow me on Instagram & Yelp if you dare!",667,506,924,44,Southern California,Jeff Bulosan,FrugalFilipino,16015,,http://drink-eat-travel.yelp.com,false
"151.20068,-33.88461",Wed Jul 08 06:07:00 +0000 2020,wfh bladerunner2020 worklife sydney chippendale palace covid19,,https://www.instagram.com/p/CCXtVwoDpaI/?igshid=ni7uk5zizi4f,0,1280745179536916481,,,,en,"Sydney, New South Wales",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",View this arvo 🤖🌟 #wfh #bladerunner2020 #worklife #sydney #chippendale #palace #covid19 @ Central Park Sydney https://t.co/tqn1Cv1bGa,https://twitter.com/SuzanLiu/status/1280745179536916481,Tue Jul 16 13:39:03 +0000 2013,SuzanLiu,false,"mostly, truth is stranger than fiction.",849,47,167,2,"Sydney, New South Wales",Suzan Liu,SuzanLiu,200,,,false
"-157.86067,21.30209",Wed Jul 08 04:26:37 +0000 2020,crossfit crossfitoahu committedtocrossfit,,https://www.instagram.com/p/CCXh2SzHLjB/?igshid=6dh3j31lchkn,0,1280719916610605056,,,,en,"Honolulu, HI",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",We are going paperless/touchless during these Coronavirus times. These QR codes will be displayed at both locations. #crossfit #crossfitoahu #committedtocrossfit @ CrossFit Oahu https://t.co/OEKaK4OQKy,https://twitter.com/CrossfitOahu/status/1280719916610605056,Wed Dec 31 06:55:04 +0000 2008,CrossfitOahu,false,Do More. Suck Less. Live Better.,1391,5032,752,113,"Honolulu, Hawaii",Crossfit Oahu,CrossfitOahu,5823,,http://www.CrossFitOahu.com,false
"144.9661,-37.8156",Wed Jul 08 04:54:26 +0000 2020,,,https://www.instagram.com/p/CCXk_X6jmGD/?igshid=1orisn1q229ee,1,1280726915733651457,,,,en,"Melbourne, Victoria",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","20 ways to connect (link in my bio 👆) ❤
.
After hearing the rest of Melbourne is going into lockdown my 💔. The impact this has on individuals, let alone local businesses &amp; the community is huge. At the same time, I… https://t.co/4xMzsGXLbK",https://twitter.com/em_bolger/status/1280726915733651457,Thu Jan 19 05:36:23 +0000 2012,em_bolger,false,Marketing Comms by profession. RPM Instructor for fitness. Personal motto: Be the change you want to see in the world.,825,166,188,16,Melbourne,Emma Bolger,em_bolger,2884,,,false
"144.75326101,-37.90631484",Wed Jul 08 05:49:18 +0000 2020,lockdown2,,https://www.instagram.com/p/CCXrUCNJKnk/?igshid=o7y24ta99kee,0,1280740724963782656,,,,en,"Melbourne, Victoria",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","this one is dedicated to all those people who didn’t listen and forced the government to place us in lockdown for another 6 weeks #lockdown2.0 @ Point Cook, Victoria https://t.co/SAQCOfLOx6",https://twitter.com/lukeboicos/status/1280740724963782656,Wed Apr 11 08:57:48 +0000 2012,lukeboicos,false,I let sport dictate my emotions  @everton @westernbulldogs @MapleLeafs @Saints,9798,167,837,6,"Melbourne, Australia",Luke,lukeboicos,5150,,http://www.soundcloud.com/luke.boicos,false
"101.7109,3.1581",Wed Jul 08 05:31:21 +0000 2020,fitmom fitnessmotivation fit fitness momatwork workfromhome,,https://www.instagram.com/p/CCXpQacBwiu/?igshid=1274mo4xk0jt6,1,1280736207018876929,,,,en,"Kuala Lumpur City, Kuala Lumpur Federal Territory",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Week 17, Day 3. Life is simple. Love is not complicated. Peach is delicious. #fitmom #fitnessmotivation #fit #fitness #momatwork #workfromhome @ Kuala Lumpur, Malaysia https://t.co/yE1mwNkeut",https://twitter.com/geenaren/status/1280736207018876929,Tue Jun 25 09:25:31 +0000 2013,geenaren,false,,242,30,153,0,"Kuala Lumpur, Wilayah Persekut",Reena Salim,geenaren,863,,,false
"-122.419,37.7793",Wed Jul 08 05:29:24 +0000 2020,shelterinplace sip quarantine day111 dyson airpurifier humidifier,,https://www.instagram.com/p/CCXpCSFhuFr/?igshid=162megjycns36,1,1280735718638325766,,,,en,"San Francisco, CA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Shelter in place day 111... welcome a new member to our family! Hello Dyson! #shelterinplace #sip #quarantine #day111 #dyson #airpurifier #humidifier @ San Francisco, California https://t.co/dCWnsejNLM",https://twitter.com/Tanasan2005/status/1280735718638325766,Sun Mar 08 05:00:28 +0000 2009,Tanasan2005,false,https://t.co/goeUQSi3KL,1499,130,302,16,San Francisco,𝕋 𝕆 𝕄 𝕄 𝕐 Ⓢ,Tanasan2005,676,,,false
