coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-111.10583333,44.6625",Fri Jul 24 05:09:00 +0000 2020,yellowstonenationalpark yellowstonenps grandtetons,,https://www.instagram.com/p/CDAzajsjO_s/?igshid=9jrd0i4yjb3m,0,1286528787098865664,,,,en,"Montana, USA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Something a little different today on the drive home from work. #yellowstonenationalpark #yellowstonenps #grandtetons @ West Yellowstone, Montana https://t.co/7WKVT6H1tx",https://twitter.com/WanderingJeeper/status/1286528787098865664,Wed Feb 20 17:19:03 +0000 2013,WanderingJeeper,false,"(OIIIIIIIO), Explorer, Malamute Lover, Turf, Irrigation & Snow Management Nerd",1423,51,94,2,Montana,The Wandering Jeeper,WanderingJeeper,960,,,false
"-79.70886,43.42694",Fri Jul 24 05:57:56 +0000 2020,channelletters banner logo covid customsigns wayfinding signhunters signdesign lasercutting lightbox digitalsignage,,https://www.instagram.com/p/CDA5BL1FjvB/?igshid=hyhc8ie0ihaf,0,1286541104352034821,,,,en,"Oakville, Ontario",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","You just have to be fair and treat clients right, they will always come back for more! 😊 #channelletters #banner #logo #covid #customsigns #wayfinding #signhunters #signdesign #lasercutting #lightbox #digitalsignage… https://t.co/Zj4YNDnea7",https://twitter.com/SignaramaOak/status/1286541104352034821,Tue Jan 19 22:03:26 +0000 2016,SignaramaOak,false,"Sign shop in Oakville, Ontario",48,34,227,0,"1236 Speers Rd, Oakville, ON",Signarama Oakville,SignaramaOak,21,,http://SignaramaOakville.com,false
"21.008333,52.232222",Fri Jul 24 04:57:12 +0000 2020,,,http://news.sky.com/story/coronavirus-what-does-the-science-actually-say-about-face-masks-11931121,0,1286525820266217477,,,,en,"Warsaw, Poland",false,0,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot 3 for iΟS</a>",What does the science actually say about face... https://t.co/kdWj3FAhsZ,https://twitter.com/pidybi/status/1286525820266217477,Sat Mar 30 17:25:49 +0000 2013,pidybi,false,🙉🙈🙊,60,510,423,273,"Warszawa, Polska",𝔓𝔦𝔬𝔱𝔯 𝔇𝔶𝔟𝔦𝔢𝔠,pidybi,567983,,https://revolut.com/referral/piotr9jr,false
"-123.1204,49.2819",Fri Jul 24 05:12:50 +0000 2020,bcpoli facts covid19 bchospitality,,https://www.instagram.com/p/CDAz26fBeoEUtagyQoakjPi1Tf9NtpJs2yl-080/?igshid=i77sy4rngy73,0,1286529752187015169,,,,en,"Vancouver, British Columbia",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#bcpoli #facts #covid19 #bchospitality @ Vancouver, British Columbia https://t.co/wgP1P9W5h7",https://twitter.com/bar10dr_RyanMac/status/1286529752187015169,Mon Nov 14 20:19:38 +0000 2011,bar10dr_RyanMac,false,"Bartender-free agent-father of L&J, lover of great food, great cocktails, great memories",6459,437,926,14,"Vancouver, BC",Ryan MacDonald,bar10dr_RyanMac,4505,,,false
"-77.0367,38.8951",Fri Jul 24 06:14:36 +0000 2020,staysafe safetyfirst covid19 protectyourself facemask safety socialdistancing facemask staysafe breathvalve nosewire valve mask wearyourmask,,https://www.instagram.com/p/CDA67UqFZ0m/?igshid=qri3qxnphhi1,0,1286545298140155904,,,,en,"Washington, DC",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",BREATH VALVE RESPIRATOR MASK! $10 #staysafe #safetyfirst #covid19 #protectyourself #facemask #safety #socialdistancing #facemask #staysafe #breathvalve #nosewire #valve #mask #wearyourmask… https://t.co/H5f2Df5Fvx,https://twitter.com/IMSOGAUDY/status/1286545298140155904,Tue Mar 13 15:45:30 +0000 2012,IMSOGAUDY,false,Gaudy Girlz Heaven bringing you the latest in jewelry trends. Need to make a statement? Want to stand out from everyone else Shop Now! #missgaudy #mother,36,519,1940,43,WASHINGTON DC,GAUDYGIRLZHEAVEN,IMSOGAUDY,45806,,http://gaudygirlzheaven.bigcartel.com,false
"-115.025,36.0292",Fri Jul 24 05:12:00 +0000 2020,EarwaxxxAdventures Quarantine bikelife bikeride rideout tbt socialdistancing earwaxxxphotography,,https://www.instagram.com/p/CDAzwvtnsNH/?igshid=14fgkm2yrhhi5,0,1286529544703356928,,,,en,"Henderson, NV",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Besides live-streaming, this has been my go to during these times.. Who’s down to ride?
#EarwaxxxAdventures
#Quarantine
.
.
.
.
.
.
.
#bikelife #bikeride #rideout  #tbt #socialdistancing #earwaxxxphotography… https://t.co/4lDrcKOP7w",https://twitter.com/EarwaxXx/status/1286529544703356928,Fri Apr 10 01:21:54 +0000 2009,EarwaxXx,false,"Voted Las Vegas' Most Talented Vegas DJ Resident DJ (Hyde, TAO/LAVO, Electra, CliQue) RedBull / BluePrintSound / JetPack / TheFreshYard 👻 DJEarwaxxx",2413,13309,300,124,LA$ VEGA$ / LOST ANGELS,Charles DJ EarwaxXx,EarwaxXx,35204,,http://www.DJEARWAXXX.com,false
"-82.4558,27.9473",Fri Jul 24 04:50:51 +0000 2020,humorme cookingalotthesedays homecookedmeal beefbulgogi stirfry yumyum healthyeating veggies goawaycovid19 blondeshavefun dindin,,https://www.instagram.com/p/CDAxVwypNTu/?igshid=abgvfn9l5j1,0,1286524219715727360,,,,en,"Tampa, FL",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Trying not to get Covid😷 in my cooking or vice versa 💁🏼‍♀️🤪
#humorme
🤠
🤠
🤠
#cookingalotthesedays #homecookedmeal #beefbulgogi #stirfry #yumyum #healthyeating #veggies #goawaycovid19 #blondeshavefun #dindin… https://t.co/wAEzCAC4PH",https://twitter.com/Lasting_Image1/status/1286524219715727360,Sat Apr 18 05:12:29 +0000 2009,Lasting_Image1,false,"🎨💋💄, Foodie•Sports•Fitness•Fashion Procell Microchanneling•Esthetician Permanentmakeup•Microblading•Makeup Artist ~Passion for T🎾nnis. ""Live, L❤️ve & Laugh""",1190,265,342,26,Tampa,Ꮶℐℳ ᏦℐℕᎶ ~ 𝒞𝒪𝒮ℳℰ𝒯ℐ𝒞 𝒯𝒜𝒯𝒯𝒪𝒪 𝒜ℛ𝒯ℐ𝒮𝒯,Lasting_Image1,2617,,http://facebook.com/lasting.image2,false
"36.82103,-1.29118",Fri Jul 24 06:05:08 +0000 2020,,,https://www.instagram.com/p/CDA5wAyBEP1/?igshid=19pawjfboyer,0,1286542913502171136,,,,en,"Nairobi, Kenya",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Covid 19 wedding package for 50-60 pax events....
MC,DJ and quality sound system services available at affordable rates.
 Book us on +254710238358.
We always guarantee you quality services and we create lifetime… https://t.co/jw9iPBXZZP",https://twitter.com/McSirlaw/status/1286542913502171136,Tue Jul 28 18:16:25 +0000 2015,McSirlaw,false,"I am:
~A born again christian. 
~An entertainer. 
~A professional emcee(MC). 
~A true gospel minister. 
~A die hard Manchester United fan.
~A father& husband.",2707,693,2017,1,Nairobi,MC SIRLAW ™,McSirlaw,909,,,false
"-123.14362551,49.28432241",Fri Jul 24 05:45:26 +0000 2020,sunset waves surf beach englishbay mothernaturerocks musictomysoul mindbodysoul metime selfcare socialdistancing chilling summer vancouver canada beachlife,,https://www.instagram.com/p/CDA3RFAhux-/?igshid=ccgiroxq8pik,0,1286537956187148290,,,,en,"Vancouver, British Columbia",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Too Nice to Go Home Walking the Seawall! #sunset #waves #surf #beach #englishbay #mothernaturerocks #musictomysoul #mindbodysoul #metime #selfcare #socialdistancing #chilling #summer #vancouver #canada #beachlife… https://t.co/PlnBaKfAQa,https://twitter.com/tgmcclean/status/1286537956187148290,Tue Mar 12 18:51:43 +0000 2013,tgmcclean,false,,3471,74,64,125,,Thomas McClean,tgmcclean,9773,,,false
"144.9438,-37.7648",Fri Jul 24 04:58:33 +0000 2020,lockdown,,https://www.instagram.com/p/CDAyORKjBf6/?igshid=1es6o3gxwiynp,0,1286526159912673280,,,,en,"Melbourne, Victoria",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","A heartfelt thankyou to @haighs1915 staff for working through a pandemic and @auspost for working in #lockdown Delivered safe and delicious to me. @ Brunswick West, Victoria https://t.co/OgpUnbFvSy",https://twitter.com/restructuregirl/status/1286526159912673280,Tue Jul 15 03:52:50 +0000 2008,restructuregirl,false,"Extravert librarian, lesbian, speaks her mind loudly, and besotted dog owner",23043,1260,1272,77,"Melbourne, Australia",Ruth Baxter,restructuregirl,30595,,http://restructuregirl.wordpress.com/,false
